##                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
Identifier	Domain target name        accession   tlen query E-value                    Score   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
281	PtuA                  -            435 WP_125330115.1|WP_125330115.1 -            330   0.00017   17.4   2.0   2   2     0.021       3.1    3.4   0.2   239   313   154   216   151   252 0.74 -
282	ATPase_TypeIA         -            534 WP_125330115.1|WP_125330115.1 -            330   0.00072   14.6   0.1   1   1     1e-05    0.0015   13.5   0.1    67   105    36    75    30    97 0.88 -
283	Menshen_NsnB          -            345 WP_125330115.1|WP_125330115.1 -            330    0.0012   14.4   0.0   1   2   2.9e-05    0.0043   12.6   0.0     8    44    35    73    31   130 0.82 -
284	Menshen_NsnB          -            345 WP_125330115.1|WP_125330115.1 -            330    0.0012   14.4   0.0   2   2      0.39        58   -1.0   0.0   234   276   172   215   158   240 0.82 -
285	JetC_III              -           1421 WP_125330115.1|WP_125330115.1 -            330    0.0047   10.3   0.1   1   1   6.3e-05    0.0094    9.3   0.1    21    57    40    77    34    83 0.87 -
286	AAA_15                PF13175.7    373 WP_125330115.1|WP_125330115.1 -            330     0.006   12.2   3.5   1   1   0.00033     0.049    9.2   3.5    25    50    52    77    37   329 0.73 AAA ATPase domain
287	ShosTA_ShosT         -            237 WP_152878170.1|WP_152878170.1 -            216   5.5e-05   18.9   0.0   1   1   1.3e-07     7e-05   18.6   0.0   169   214   119   164   101   197 0.80 -
288	PsyrTA_PsyrT         -            689 WP_152878170.1|WP_152878170.1 -            216    0.0018   12.4   0.0   1   1   4.3e-06    0.0023   12.1   0.0   641   679   117   154    77   164 0.82 -
289	RosmerTA_RmrA_2676476075 -            373 WP_164450687.1|WP_164450687.1 -             90   1.8e-05   19.9   0.5   1   2     2e-07   4.1e-05   18.7   0.3     7    56     4    55     1    59 0.78 -
290	RosmerTA_RmrA_2676476075 -            373 WP_164450687.1|WP_164450687.1 -             90   1.8e-05   19.9   0.5   2   2     0.049        10    1.0   0.0   149   162    49    62    41    65 0.81 -
291	RosmerTA_RmrA_2634932349 -            363 WP_164450687.1|WP_164450687.1 -             90   4.4e-05   18.3   0.1   1   1   2.1e-07   4.4e-05   18.3   0.1     1    54     1    53     1    83 0.83 -
292	RosmerTA_RmrA_2617826694 -            357 WP_164450687.1|WP_164450687.1 -             90   0.00011   16.8   0.1   1   1   5.8e-07   0.00012   16.7   0.1     3    55     3    57     1    66 0.81 -
293	RosmerTA_RmrA_2623274509 -            383 WP_164450687.1|WP_164450687.1 -             90    0.0086   10.7   0.1   1   1   4.7e-05    0.0099   10.5   0.1    13    64     4    57     1    60 0.90 -
294	RosmerTA_RmrA_2662548665 -            400 WP_164450687.1|WP_164450687.1 -             90     0.011   10.5   0.0   1   1   5.2e-05     0.011   10.5   0.0    11    61     5    57     2    85 0.85 -
295	RosmerTA_RmrT_2623274509 -            212 WP_167864086.1|WP_167864086.1 -            203   2.3e-16   55.9   0.0   1   1   1.3e-18   2.7e-16   55.6   0.0     7   164     5   161     1   200 0.79 -
296	RosmerTA_RmrT_2664250653 -            215 WP_167864086.1|WP_167864086.1 -            203   1.3e-08   30.2   0.0   1   1   1.5e-10   3.2e-08   28.9   0.0     8   179     7   175     1   202 0.70 -
295	RosmerTA_RmrT_2634882613 -            212 WP_167864086.1|WP_167864086.1 -            203     1e-07   27.6   0.2   1   1   6.2e-10   1.3e-07   27.3   0.2    46   124    43   122     1   133 0.82 -
296	RosmerTA_RmrT_2677172838 -            227 WP_167864086.1|WP_167864086.1 -            203   1.1e-06   24.2   0.0   1   1     1e-08   2.2e-06   23.1   0.0    12   139     2   120     1   140 0.87 -
297	RosmerTA_RmrT_2662548665 -            221 WP_167864086.1|WP_167864086.1 -            203   5.5e-05   18.9   0.0   1   1   3.5e-07   7.3e-05   18.5   0.0     9   119     6   114     1   130 0.90 -
298	LSIVC_IV-C_1         -            597 WP_167864088.1|WP_167864088.1 -            316   0.00088   13.6   0.1   1   1   2.3e-06    0.0012   13.1   0.1    81   157   168   242   160   267 0.83 -
299	DruB                 -            530 WP_167864088.1|WP_167864088.1 -            316    0.0018   13.3   0.3   1   1     5e-06    0.0026   12.8   0.3    25    64    44    91    29   112 0.84 -
300	RT                    -            958 WP_167864089.1|WP_167864089.1 -           1005   2.6e-46  153.8   0.0   1   2   1.3e-22   6.5e-21   69.8   0.0    95   307   108   304    15   318 0.72 -
301	RT                    -            958 WP_167864089.1|WP_167864089.1 -           1005   2.6e-46  153.8   0.0   2   2   2.7e-26   1.4e-24   81.9   0.0   704   949   748   995   720  1000 0.83 -
302	drt1a                 -           1231 WP_167864089.1|WP_167864089.1 -           1005   7.8e-17   55.9   0.0   1   2   1.2e-05   0.00061   13.2   0.0   271   331   252   305   208   342 0.85 -
303	drt1a                 -           1231 WP_167864089.1|WP_167864089.1 -           1005   7.8e-17   55.9   0.0   2   2   6.2e-14   3.3e-12   40.6   0.0  1107  1219   869   981   867   997 0.87 -
304	RT_2_A1               -            312 WP_167864089.1|WP_167864089.1 -           1005   3.5e-08   28.9   0.0   1   1   1.1e-09   5.6e-08   28.2   0.0    91   200   199   313   184   327 0.72 -
305	RT_1_A                -            312 WP_167864089.1|WP_167864089.1 -           1005   1.8e-07   26.5   0.0   1   1   5.3e-09   2.8e-07   25.9   0.0    79   196   187   307   183   327 0.71 -
306	RT_1_B1               -            317 WP_167864089.1|WP_167864089.1 -           1005     1e-06   24.0   0.0   1   1   3.2e-08   1.7e-06   23.3   0.0   139   198   257   314   184   335 0.71 -
307	RT_2_A3               -            325 WP_167864089.1|WP_167864089.1 -           1005   2.6e-06   22.5   0.0   1   1   8.5e-08   4.5e-06   21.7   0.0   151   208   257   312   255   322 0.88 -
308	RT_1_B2               -            362 WP_167864089.1|WP_167864089.1 -           1005   6.9e-06   21.2   0.0   1   1   2.1e-07   1.1e-05   20.6   0.0   100   207   206   305   189   320 0.72 -
309	RT_9                  -            321 WP_167864089.1|WP_167864089.1 -           1005   2.1e-05   19.5   0.0   1   1   6.5e-07   3.4e-05   18.8   0.0   175   228   256   307   239   346 0.79 -
310	RT_3                  -            378 WP_167864089.1|WP_167864089.1 -           1005   2.3e-05   19.4   0.0   1   1   7.3e-07   3.8e-05   18.7   0.0   177   226   257   304   195   318 0.83 -
311	RT_12                 -            570 WP_167864089.1|WP_167864089.1 -           1005   2.4e-05   18.8   0.0   1   1   7.8e-07   4.1e-05   18.0   0.0   159   211   259   309   255   329 0.84 -
312	RT_I_II_III_IV_V_VI_1 -            297 WP_167864089.1|WP_167864089.1 -           1005   2.9e-05   19.1   0.0   1   2       1.6        83   -2.2   0.0    72   115   114   157    95   160 0.73 -
313	RT_I_II_III_IV_V_VI_1 -            297 WP_167864089.1|WP_167864089.1 -           1005   2.9e-05   19.1   0.0   2   2   2.1e-06   0.00011   17.2   0.0   129   238   196   311   180   331 0.78 -
314	RT_2_A2               -            489 WP_167864089.1|WP_167864089.1 -           1005   7.3e-05   17.3   0.0   1   1   2.1e-06   0.00011   16.7   0.0   324   380   257   311   233   331 0.83 -
315	RT_7_A1               -            589 WP_167864089.1|WP_167864089.1 -           1005   0.00014   16.4   0.0   1   1   4.1e-06   0.00021   15.8   0.0   172   220   257   303   232   312 0.86 -
316	drt3a                 -            879 WP_167864089.1|WP_167864089.1 -           1005   0.00017   16.7   0.0   1   1   5.2e-06   0.00027   16.0   0.0   159   202   258   301   243   306 0.94 -
317	RT_6                  -            325 WP_167864089.1|WP_167864089.1 -           1005   0.00056   15.1   0.0   1   1   2.1e-05    0.0011   14.2   0.0   154   203   258   305   254   328 0.86 -
318	RT_7_A2               -            335 WP_167864089.1|WP_167864089.1 -           1005   0.00064   14.8   0.0   1   1   2.7e-05    0.0014   13.6   0.0   158   206   259   306   246   326 0.85 -
319	drt2                  -            425 WP_167864089.1|WP_167864089.1 -           1005   0.00093   14.4   0.0   1   1   3.5e-05    0.0018   13.4   0.0   228   276   258   304   244   317 0.86 -
320	RT_11                 -            543 WP_167864089.1|WP_167864089.1 -           1005    0.0012   13.4   0.0   1   1   3.7e-05    0.0019   12.8   0.0   150   198   258   304   252   321 0.85 -
321	RT_10                 -            287 WP_167864089.1|WP_167864089.1 -           1005    0.0013   13.9   0.0   1   1   4.1e-05    0.0021   13.2   0.0   140   186   257   301   223   317 0.86 -
322	RT_1_C1               -            577 WP_167864089.1|WP_167864089.1 -           1005     0.012    9.8   0.0   1   1   0.00038      0.02    9.1   0.0   158   203   258   301   250   314 0.86 -
323	Type_I_REases_FAM_2.einsi_trimmed   -            876 WP_169901990.1|WP_169901990.1 -           1154  1.7e-187  621.4   6.2   1   1  1.4e-189  2.1e-187  621.1   6.2    13   865   251  1147    31  1152 0.87 -
324	Type_I_REases_FAM_0.einsi_trimmed   -           1006 WP_169901990.1|WP_169901990.1 -           1154     9e-23   76.4   7.3   1   4     0.049       7.4    0.6   2.9   722   814   157   253   142   295 0.54 -
325	Type_I_REases_FAM_0.einsi_trimmed   -           1006 WP_169901990.1|WP_169901990.1 -           1154     9e-23   76.4   7.3   2   4   4.7e-23     7e-21   70.1   0.5    14   435   188   636   177   642 0.79 -
326	Type_I_REases_FAM_0.einsi_trimmed   -           1006 WP_169901990.1|WP_169901990.1 -           1154     9e-23   76.4   7.3   3   4   0.00028     0.042    8.0   0.0   550   628   708   796   698   805 0.86 -
327	Type_I_REases_FAM_0.einsi_trimmed   -           1006 WP_169901990.1|WP_169901990.1 -           1154     9e-23   76.4   7.3   4   4      0.18        27   -1.3   0.2   875   942   878   950   844  1008 0.64 -
328	Type_III_REases_FAM_1.einsi_trimmed -            879 WP_169901990.1|WP_169901990.1 -           1154   3.6e-16   54.4   1.1   1   3   2.6e-08   3.8e-06   21.2   0.1    32   138   431   527   409   547 0.73 -
329	Type_III_REases_FAM_1.einsi_trimmed -            879 WP_169901990.1|WP_169901990.1 -           1154   3.6e-16   54.4   1.1   2   3   0.00024     0.036    8.1   0.0   211   267   562   637   541   640 0.88 -
330	Type_III_REases_FAM_1.einsi_trimmed -            879 WP_169901990.1|WP_169901990.1 -           1154   3.6e-16   54.4   1.1   3   3   1.8e-08   2.6e-06   21.7   0.1   339   415   741   818   702   829 0.79 -
331	Type_IIG_2                          -            749 WP_169901990.1|WP_169901990.1 -           1154   5.5e-14   47.8   0.0   1   1   5.5e-16   8.2e-14   47.2   0.0   105   407   430   820   381  1115 0.72 -
332	HamB                                -           1007 WP_169901990.1|WP_169901990.1 -           1154   1.6e-05   19.2   0.1   1   2      0.54        80   -3.0   1.1   734   828   150   236    72   269 0.54 -
333	HamB                                -           1007 WP_169901990.1|WP_169901990.1 -           1154   1.6e-05   19.2   0.1   2   2   1.1e-07   1.6e-05   19.2   0.1   259   381   452   569   441   773 0.82 -
334	cas8u2_I-G_2                        -            296 WP_169901990.1|WP_169901990.1 -           1154   0.00039   15.4   0.2   1   2   7.9e-06    0.0012   13.9   0.0    20    77   403   461   393   476 0.86 -
335	cas8u2_I-G_2                        -            296 WP_169901990.1|WP_169901990.1 -           1154   0.00039   15.4   0.2   2   2      0.63        94   -2.2   0.1    96   124   902   930   885   933 0.79 -
336	LmuB_SMC_Cap4_nuclease_II           -            611 WP_169901990.1|WP_169901990.1 -           1154      0.26    6.1  10.2   1   2    0.0001     0.016   10.2   2.2   376   478   146   253    48   287 0.57 -
337	LmuB_SMC_Cap4_nuclease_II           -            611 WP_169901990.1|WP_169901990.1 -           1154      0.26    6.1  10.2   2   2      0.12        17    0.1   0.9   345   382   883   920   434  1027 0.68 -
338	PtuB                    -            214 WP_169902136.1|WP_169902136.1 -            201   5.8e-32  107.6   0.2   1   1   2.5e-34   6.5e-32  107.5   0.2    15   148    20   180     1   197 0.82 -
339	HNH_TIGR02646           -            234 WP_169902136.1|WP_169902136.1 -            201   6.8e-12   41.5   0.1   1   1     4e-14   1.1e-11   40.9   0.1    31   116    29   113     8   172 0.76 -
340	PtuB_2                  -            275 WP_169902136.1|WP_169902136.1 -            201     2e-09   33.5   3.2   1   1   8.9e-12   2.3e-09   33.3   3.2    95   174    47   142    16   180 0.78 -
341	Menshen_NsnC_2525400098 -            255 WP_169902136.1|WP_169902136.1 -            201   6.4e-05   18.6   0.1   1   1   3.3e-07   8.5e-05   18.2   0.1    41   111    53   122    37   150 0.77 -
342	rdrD_II              -            244 WP_169902137.1|WP_169902137.1 -            668    0.0038   13.0   0.3   1   1   1.7e-05    0.0089   11.7   0.3    27   128   557   658   544   665 0.78 -
343	JetC_III             -           1421 WP_169902137.1|WP_169902137.1 -            668     0.018    8.4   4.5   1   2   2.5e-05     0.013    8.8   0.1  1084  1180    87   190    45   198 0.78 -
344	JetC_III             -           1421 WP_169902137.1|WP_169902137.1 -            668     0.018    8.4   4.5   2   2      0.01       5.3    0.2   1.5   426   482   514   571   493   578 0.65 -
345	HTH                      -             99 WP_175440423.1|WP_175440423.1 -            372   0.00068   15.6   0.0   1   1   2.1e-06    0.0011   14.9   0.0     3    53    10    60     8    65 0.91 -
346	RosmerTA_RmrA_2662548665 -            400 WP_175440423.1|WP_175440423.1 -            372    0.0037   12.1   0.0   1   1   1.1e-05    0.0055   11.5   0.0    12    62    12    62     8    74 0.92 -
347	Type_I_REases_FAM_2.einsi_trimmed -            876 WP_233597849.1|WP_233597849.1 -            332    0.0011   13.3   0.0   1   1   1.3e-06    0.0014   12.9   0.0   513   556     4    47     1    95 0.77 -
348	Sp_dGTPase           -            446 WP_241243513.1|WP_241243513.1 -            434   0.00054   14.8   0.0   1   1   9.7e-07     0.001   13.8   0.0    58   119    48   115    14   123 0.76 -
349	Type_I_REases_FAM_2.einsi_trimmed -            876 WP_245538967.1|WP_245538967.1 -            651   2.6e-16   55.0   0.0   1   1     6e-18   4.2e-16   54.3   0.0   152   549   177   583   142   597 0.67 -
350	RL_D                              -            905 WP_245538967.1|WP_245538967.1 -            651   3.3e-08   28.0   0.1   1   1   1.4e-09   9.8e-08   26.4   0.1    85   304    44   276     6   303 0.68 -
351	HamB                              -           1007 WP_245538967.1|WP_245538967.1 -            651   4.2e-08   27.7   0.0   1   1   8.7e-10   6.1e-08   27.2   0.0   250   316   204   269   198   346 0.85 -
352	Shango_SngC                       -            720 WP_245538967.1|WP_245538967.1 -            651   7.6e-07   24.0   0.0   1   1   1.5e-08   1.1e-06   23.5   0.0    24    91   199   284   155   344 0.83 -
353	Azaca_ZacB                        -            586 WP_245538967.1|WP_245538967.1 -            651   1.2e-05   20.1   0.0   1   1   2.7e-07   1.9e-05   19.5   0.0   229   348     8   139     2   175 0.64 -
354	Type_I_REases_FAM_0.einsi_trimmed -           1006 WP_245538967.1|WP_245538967.1 -            651   1.3e-05   19.6   0.0   1   1   2.5e-07   1.8e-05   19.2   0.0   264   453   212   413   198   454 0.78 -
355	drmD                              -           1025 WP_245538967.1|WP_245538967.1 -            651   0.00012   16.5   0.0   1   2   3.6e-06   0.00025   15.4   0.0   121   264   197   341   138   368 0.75 -
356	drmD                              -           1025 WP_245538967.1|WP_245538967.1 -            651   0.00012   16.5   0.0   2   2       1.3        89   -3.0   0.0   356   424   404   472   396   508 0.72 -
357	brxHII                            -            922 WP_245538967.1|WP_245538967.1 -            651   0.00014   16.0   0.2   1   2   0.00012    0.0083   10.2   0.0   100   246   210   349   205   355 0.78 -
358	brxHII                            -            922 WP_245538967.1|WP_245538967.1 -            651   0.00014   16.0   0.2   2   2     0.011       0.8    3.7   0.1   510   565   523   579   520   592 0.84 -
359	DinG_IV-A_2                       -            678 WP_245538967.1|WP_245538967.1 -            651   0.00018   15.8   0.2   1   2   1.1e-05   0.00077   13.7   0.0    12    69   196   250   191   256 0.87 -
360	DinG_IV-A_2                       -            678 WP_245538967.1|WP_245538967.1 -            651   0.00018   15.8   0.2   2   2       0.7        49   -2.1   0.1   617   639   568   590   567   590 0.88 -
361	cas3_I_2                          -            353 WP_245538967.1|WP_245538967.1 -            651   0.00066   14.8   0.2   1   2   0.00056     0.039    9.0   0.0     8    38   224   254   219   341 0.91 -
362	cas3_I_2                          -            353 WP_245538967.1|WP_245538967.1 -            651   0.00066   14.8   0.2   2   2     0.025       1.8    3.5   0.0   290   322   554   587   532   602 0.80 -
363	cas3_I_5                          -            741 WP_245538967.1|WP_245538967.1 -            651    0.0011   13.2   0.1   1   2   6.3e-05    0.0044   11.3   0.0   198   260   200   257   179   269 0.79 -
364	cas3_I_5                          -            741 WP_245538967.1|WP_245538967.1 -            651    0.0011   13.2   0.1   2   2      0.31        22   -0.9   0.0   529   552   568   589   564   591 0.80 -
365	PsyrTA_PsyrT                      -            689 WP_245538967.1|WP_245538967.1 -            651     0.012    9.6   0.0   1   2     0.002      0.14    6.1   0.0    21   152   199   338   186   342 0.73 -
366	PsyrTA_PsyrT                      -            689 WP_245538967.1|WP_245538967.1 -            651     0.012    9.6   0.0   2   2     0.068       4.8    1.1   0.0   252   312   495   556   448   582 0.67 -
367	brxHI                             -            700 WP_245538967.1|WP_245538967.1 -            651     0.013    9.8   0.5   1   2   0.00062     0.043    8.0   0.1    23    83   199   258   197   345 0.76 -
368	brxHI                             -            700 WP_245538967.1|WP_245538967.1 -            651     0.013    9.8   0.5   2   2      0.25        17   -0.6   0.1   303   342   539   578   531   583 0.90 -
369	Type_IIG_2                        -            749 WP_245538967.1|WP_245538967.1 -            651     0.013   10.2   0.0   1   1   0.00025     0.017    9.8   0.0   135   410   218   583   125   638 0.63 -
370	cas3_I-D_4                        -            353 WP_245538967.1|WP_245538967.1 -            651     0.013   10.4   0.3   1   2     0.072       5.1    2.0   0.0    22    58   223   264   212   270 0.66 -
371	cas3_I-D_4                        -            353 WP_245538967.1|WP_245538967.1 -            651     0.013   10.4   0.3   2   2    0.0035      0.25    6.3   0.1   300   352   518   576   487   577 0.68 -
372	JetC_II              -           1341 YP_009301391.1|YP_009301391.1 -            756      0.47    4.1  33.3   1   1   0.00082      0.86    3.2  33.3   337   491   145   305   134   327 0.55 -
#
# Program:         hmmscan
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SCAN
# Query file:      Table_Antitox2_out_flankgene.fasta
# Target file:     hmmer_db/defense_models.hmm
# Option settings: hmmscan --domtblout dm_output.txt hmmer_db/defense_models.hmm Table_Antitox2_out_flankgene.fasta 
# Current dir:     /Users/josenakamoto/Documents/Domain_search
# Date:            Sat May 14 08:59:46 2022
# [ok]
